Files already downloaded and verified
Files already downloaded and verified
[build] SpatialModulatedINR  base_inr_type=siren  is_spatial=True  phi_shape=(8, 8, 16)  phi_numel=1024
[makeset] train subset size: 50000
[makeset] test subset size: 10000
[makeset] checkpoint: model_cifar10/cifar10_spatial_warmvanilla_readout_cap50_lam1.0/modSiren.pth
[makeset] model_args: {'dataset': 'cifar10', 'hidden_dim': 256, 'mod_dim': 1024, 'depth': 6, 'height': 32, 'width': 32, 'out_features': 3, 'inr_type': 'siren', 'fourier_num_freqs': 64, 'fourier_sigma': 10.0, 'fourier_include_input': False, 'freq': 10.0, 'finer_first_bias_scale': 1.0, 'finer_scale_req_grad': False, 'lsa_num_harmonics': 8, 'lsa_init_scale': 0.001, 'lsa_include_linear': True, 'spatial_modulation': True, 'latent_spatial_dim': 8, 'latent_dim': 16, 'spatial_interp': 'nearest', 'use_local_coords': True, 'modulation_type': 'shift'}
[makeset] built model: SpatialModulatedINR
[makeset] modul_features: 1024
[makeset] hidden_features: 256
[makeset] coord_normalization: None

  0%|          | 0/50000 [00:00<?, ?it/s][makeset] first phi shape: (8, 8, 16) is_spatial: True

MSE: 0.002035717014223337:   0%|          | 0/50000 [00:03<?, ?it/s]
MSE: 0.002035717014223337:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0019062090432271361:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0011618740390986204:   0%|          | 1/50000 [00:03<47:43:37,  3.44s/it]
MSE: 0.0011618740390986204:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0006521471659652889:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0015155947767198086:   0%|          | 3/50000 [00:03<12:57:45,  1.07it/s]
MSE: 0.0015155947767198086:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s] 
MSE: 0.002975231735035777:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s] 
MSE: 0.0028414360713213682:   0%|          | 5/50000 [00:03<6:40:58,  2.08it/s]
MSE: 0.0028414360713213682:   0%|          | 7/50000 [00:03<4:12:09,  3.30it/s]
MSE: 0.0008855997584760189:   0%|          | 23/50000 [00:04<56:22, 14.78it/s]  
MSE: 0.00077455909922719:   0%|          | 23/50000 [00:04<56:22, 14.78it/s]  
MSE: 0.002557022264227271:   0%|          | 23/50000 [00:04<56:22, 14.78it/s]
MSE: 0.002557022264227271:   0%|          | 25/50000 [00:04<53:36, 15.54it/s]
MSE: 0.0009352323831990361:   0%|          | 25/50000 [00:04<53:36, 15.54it/s]
MSE: 0.0007166474824771285:   0%|          | 25/50000 [00:04<53:36, 15.54it/s]
MSE: 0.0007166474824771285:   0%|          | 27/50000 [00:04<52:03, 16.00it/s]
MSE: 0.0012052336242049932:   0%|          | 27/50000 [00:05<52:03, 16.00it/s]
MSE: 0.0013797007268294692:   0%|          | 27/50000 [00:05<52:03, 16.00it/s]
MSE: 0.0013797007268294692:   0%|          | 29/50000 [00:05<50:57, 16.34it/s]
MSE: 0.0007061994401738048:   0%|          | 29/50000 [00:05<50:57, 16.34it/s]
MSE: 0.0020121249835938215:   0%|          | 29/50000 [00:05<50:57, 16.34it/s]
MSE: 0.0020121249835938215:   0%|          | 31/50000 [00:05<48:51, 17.04it/s]
MSE: 0.0008090761257335544:   0%|          | 31/50000 [00:05<48:51, 17.04it/s]
MSE: 0.0023375661112368107:   0%|          | 31/50000 [00:05<48:51, 17.04it/s]
MSE: 0.0023375661112368107:   0%|          | 33/50000 [00:05<48:37, 17.13it/s]
MSE: 0.0011707039084285498:   0%|          | 33/50000 [00:05<48:37, 17.13it/s]
MSE: 0.0008794160094112158:   0%|          | 33/50000 [00:05<48:37, 17.13it/s]
MSE: 0.0008794160094112158:   0%|          | 35/50000 [00:05<48:55, 17.02it/s]
MSE: 0.001871017157100141:   0%|          | 35/50000 [00:05<48:55, 17.02it/s] 
MSE: 0.0013263154542073607:   0%|          | 35/50000 [00:05<48:55, 17.02it/s]
MSE: 0.0013263154542073607:   0%|          | 37/50000 [00:05<47:58, 17.36it/s]
MSE: 0.0009365202276967466:   0%|          | 37/50000 [00:05<47:58, 17.36it/s]
MSE: 0.0013555209152400494:   0%|          | 37/50000 [00:05<47:58, 17.36it/s]
MSE: 0.0013555209152400494:   0%|          | 39/50000 [00:05<47:16, 17.61it/s]
MSE: 0.0012927218340337276:   0%|          | 39/50000 [00:05<47:16, 17.61it/s]
MSE: 0.001385620329529047:   0%|          | 39/50000 [00:05<47:16, 17.61it/s] 
MSE: 0.001385620329529047:   0%|          | 41/50000 [00:05<47:09, 17.66it/s]
MSE: 0.0013524405658245087:   0%|          | 41/50000 [00:05<47:09, 17.66it/s]
MSE: 0.0006843846058472991:   0%|          | 41/50000 [00:05<47:09, 17.66it/s]
MSE: 0.0006843846058472991:   0%|          | 43/50000 [00:05<46:22, 17.95it/s]
MSE: 0.003243738319724798:   0%|          | 43/50000 [00:05<46:22, 17.95it/s] 
MSE: 0.002081174636259675:   0%|          | 43/50000 [00:05<46:22, 17.95it/s]
MSE: 0.002081174636259675:   0%|          | 45/50000 [00:05<46:12, 18.02it/s]
MSE: 0.0027744565159082413:   0%|          | 45/50000 [00:06<46:12, 18.02it/s]
MSE: 0.001137496903538704:   0%|          | 45/50000 [00:06<46:12, 18.02it/s] 
MSE: 0.001137496903538704:   0%|          | 47/50000 [00:06<46:14, 18.00it/s]
MSE: 0.0012664435198530555:   0%|          | 47/50000 [00:06<46:14, 18.00it/s]
MSE: 0.0007971212617121637:   0%|          | 47/50000 [00:06<46:14, 18.00it/s]
MSE: 0.0007971212617121637:   0%|          | 49/50000 [00:06<45:33, 18.27it/s]
MSE: 0.003044408280402422:   0%|          | 49/50000 [00:06<45:33, 18.27it/s] 
MSE: 0.0020247071515768766:   0%|          | 49/50000 [00:06<45:33, 18.27it/s]
MSE: 0.0020247071515768766:   0%|          | 51/50000 [00:06<44:51, 18.56it/s]
MSE: 0.0024247406981885433:   0%|          | 51/50000 [00:06<44:51, 18.56it/s]
MSE: 0.002009172458201647:   0%|          | 51/50000 [00:06<44:51, 18.56it/s] 
MSE: 0.002009172458201647:   0%|          | 53/50000 [00:06<45:26, 18.32it/s]
MSE: 0.0006174594163894653:   0%|          | 53/50000 [00:06<45:26, 18.32it/s]
MSE: 0.0010457902681082487:   0%|          | 53/50000 [00:06<45:26, 18.32it/s]
MSE: 0.0010457902681082487:   0%|          | 55/50000 [00:06<45:47, 18.18it/s]
MSE: 0.002197703579440713:   0%|          | 55/50000 [00:06<45:47, 18.18it/s] 
MSE: 0.0014641371089965105:   0%|          | 55/50000 [00:06<45:47, 18.18it/s]
MSE: 0.0014641371089965105:   0%|          | 57/50000 [00:06<46:31, 17.89it/s]
MSE: 0.0005471375770866871:   0%|          | 57/50000 [00:06<46:31, 17.89it/s]
MSE: 0.0005980818532407284:   0%|          | 57/50000 [00:06<46:31, 17.89it/s]
MSE: 0.0005980818532407284:   0%|          | 59/50000 [00:06<45:29, 18.29it/s]
MSE: 0.004017578437924385:   0%|          | 59/50000 [00:06<45:29, 18.29it/s] 
MSE: 0.00276551628485322:   0%|          | 59/50000 [00:06<45:29, 18.29it/s] 
MSE: 0.00276551628485322:   0%|          | 61/50000 [00:06<45:07, 18.44it/s]
MSE: 0.0016519795171916485:   0%|          | 61/50000 [00:06<45:07, 18.44it/s]
MSE: 0.0012634024024009705:   0%|          | 61/50000 [00:06<45:07, 18.44it/s]
MSE: 0.0012634024024009705:   0%|          | 63/50000 [00:06<45:34, 18.26it/s]
MSE: 0.001497835386544466:   0%|          | 63/50000 [00:06<45:34, 18.26it/s] 
MSE: 0.0022620249073952436:   0%|          | 63/50000 [00:07<45:34, 18.26it/s]
MSE: 0.0022620249073952436:   0%|          | 65/50000 [00:07<45:51, 18.15it/s]
MSE: 0.002347822766751051:   0%|          | 65/50000 [00:07<45:51, 18.15it/s] 
MSE: 0.0023365155793726444:   0%|          | 65/50000 [00:07<45:51, 18.15it/s]
MSE: 0.0023365155793726444:   0%|          | 67/50000 [00:07<45:03, 18.47it/s]
MSE: 0.0013665920123457909:   0%|          | 67/50000 [00:07<45:03, 18.47it/s]
MSE: 0.0014630708610638976:   0%|          | 67/50000 [00:07<45:03, 18.47it/s]
MSE: 0.0014630708610638976:   0%|          | 69/50000 [00:07<45:14, 18.39it/s]
MSE: 0.00041669359779916704:   0%|          | 69/50000 [00:07<45:14, 18.39it/s]
MSE: 0.0013151392340660095:   0%|          | 69/50000 [00:07<45:14, 18.39it/s] 
MSE: 0.0013151392340660095:   0%|          | 71/50000 [00:07<45:35, 18.25it/s]
MSE: 0.0016470070695504546:   0%|          | 71/50000 [00:07<45:35, 18.25it/s]
MSE: 0.0011967578902840614:   0%|          | 71/50000 [00:07<45:35, 18.25it/s]
MSE: 0.0011967578902840614:   0%|          | 73/50000 [00:07<45:32, 18.27it/s]
MSE: 0.0013660378754138947:   0%|          | 73/50000 [00:07<45:32, 18.27it/s]
MSE: 0.0015230101998895407:   0%|          | 73/50000 [00:07<45:32, 18.27it/s]
MSE: 0.0015230101998895407:   0%|          | 75/50000 [00:07<46:04, 18.06it/s]
MSE: 0.0023270011879503727:   0%|          | 75/50000 [00:07<46:04, 18.06it/s]
MSE: 0.0018488143105059862:   0%|          | 75/50000 [00:07<46:04, 18.06it/s]
MSE: 0.0018488143105059862:   0%|          | 77/50000 [00:07<45:27, 18.30it/s]
MSE: 0.0007496874313801527:   0%|          | 77/50000 [00:07<45:27, 18.30it/s]
MSE: 0.0016257449751719832:   0%|          | 77/50000 [00:07<45:27, 18.30it/s]
MSE: 0.0016257449751719832:   0%|          | 79/50000 [00:07<45:38, 18.23it/s]
MSE: 0.004527104552835226:   0%|          | 79/50000 [00:07<45:38, 18.23it/s] 
MSE: 0.0006492373649962246:   0%|          | 79/50000 [00:07<45:38, 18.23it/s]
MSE: 0.0006492373649962246:   0%|          | 81/50000 [00:07<46:07, 18.04it/s]
MSE: 0.0014904960989952087:   0%|          | 81/50000 [00:07<46:07, 18.04it/s]
MSE: 0.0018915245309472084:   0%|          | 81/50000 [00:08<46:07, 18.04it/s]
MSE: 0.0018915245309472084:   0%|          | 83/50000 [00:08<46:15, 17.99it/s]
MSE: 0.0009644340025261045:   0%|          | 83/50000 [00:08<46:15, 17.99it/s]
MSE: 0.001637857174500823:   0%|          | 83/50000 [00:08<46:15, 17.99it/s] 
MSE: 0.001637857174500823:   0%|          | 85/50000 [00:08<45:57, 18.10it/s]
MSE: 0.0007896575843915343:   0%|          | 85/50000 [00:08<45:57, 18.10it/s]
MSE: 0.0007499951170757413:   0%|          | 85/50000 [00:08<45:57, 18.10it/s]
MSE: 0.0007499951170757413:   0%|          | 87/50000 [00:08<45:16, 18.38it/s]
MSE: 0.0013623654376715422:   0%|          | 87/50000 [00:08<45:16, 18.38it/s]
MSE: 0.002052437048405409:   0%|          | 87/50000 [00:08<45:16, 18.38it/s] 
MSE: 0.002052437048405409:   0%|          | 89/50000 [00:08<45:21, 18.34it/s]
MSE: 0.0017786272801458836:   0%|          | 89/50000 [00:08<45:21, 18.34it/s]
MSE: 0.0011295909062027931:   0%|          | 89/50000 [00:08<45:21, 18.34it/s]
MSE: 0.0011295909062027931:   0%|          | 91/50000 [00:08<45:15, 18.38it/s]
MSE: 0.0024439338594675064:   0%|          | 91/50000 [00:08<45:15, 18.38it/s]
MSE: 0.004197159316390753:   0%|          | 91/50000 [00:08<45:15, 18.38it/s] 
MSE: 0.004197159316390753:   0%|          | 93/50000 [00:08<45:36, 18.24it/s]
MSE: 0.001297486713156104:   0%|          | 93/50000 [00:08<45:36, 18.24it/s]
MSE: 0.0013082788791507483:   0%|          | 93/50000 [00:08<45:36, 18.24it/s]
MSE: 0.0013082788791507483:   0%|          | 95/50000 [00:08<45:55, 18.11it/s]
MSE: 0.005085520446300507:   0%|          | 95/50000 [00:08<45:55, 18.11it/s] 
MSE: 0.0008148608030751348:   0%|          | 95/50000 [00:08<45:55, 18.11it/s]
MSE: 0.0008148608030751348:   0%|          | 97/50000 [00:08<45:47, 18.16it/s]
MSE: 0.0013854674762114882:   0%|          | 97/50000 [00:08<45:47, 18.16it/s]
MSE: 0.0017028646543622017:   0%|          | 97/50000 [00:08<45:47, 18.16it/s]
MSE: 0.0017028646543622017:   0%|          | 99/50000 [00:08<46:00, 18.07it/s]
MSE: 0.004946096800267696:   0%|          | 99/50000 [00:08<46:00, 18.07it/s] 
MSE: 0.0006239546346478164:   0%|          | 99/50000 [00:09<46:00, 18.07it/s]
MSE: 0.0006239546346478164:   0%|          | 101/50000 [00:09<45:39, 18.21it/s]
MSE: 0.0007518279599025846:   0%|          | 101/50000 [00:09<45:39, 18.21it/s]
MSE: 0.0034331269562244415:   0%|          | 101/50000 [00:09<45:39, 18.21it/s]
MSE: 0.0034331269562244415:   0%|          | 103/50000 [00:09<45:38, 18.22it/s]
MSE: 0.0023657733108848333:   0%|          | 103/50000 [00:09<45:38, 18.22it/s]
MSE: 0.00264418195001781:   0%|          | 103/50000 [00:09<45:38, 18.22it/s]  
MSE: 0.00264418195001781:   0%|          | 105/50000 [00:09<46:03, 18.06it/s]
MSE: 0.003631947096437216:   0%|          | 105/50000 [00:09<46:03, 18.06it/s]
MSE: 0.0017460864037275314:   0%|          | 105/50000 [00:09<46:03, 18.06it/s]
MSE: 0.0017460864037275314:   0%|          | 107/50000 [00:09<45:22, 18.33it/s]
MSE: 0.0012126947985962033:   0%|          | 107/50000 [00:09<45:22, 18.33it/s]
MSE: 0.0005188612267374992:   0%|          | 107/50000 [00:09<45:22, 18.33it/s]
MSE: 0.0005188612267374992:   0%|          | 109/50000 [00:09<45:06, 18.43it/s]
MSE: 0.0016555178444832563:   0%|          | 109/50000 [00:09<45:06, 18.43it/s]
MSE: 0.0004771859385073185:   0%|          | 109/50000 [00:09<45:06, 18.43it/s]
MSE: 0.0004771859385073185:   0%|          | 111/50000 [00:09<45:55, 18.11it/s]
MSE: 0.0011348434491083026:   0%|          | 111/50000 [00:09<45:55, 18.11it/s]
MSE: 0.001554580288939178:   0%|          | 111/50000 [00:09<45:55, 18.11it/s] 
MSE: 0.001554580288939178:   0%|          | 113/50000 [00:09<45:20, 18.34it/s]
MSE: 0.0013098958879709244:   0%|          | 113/50000 [00:09<45:20, 18.34it/s]
MSE: 0.003188537200912833:   0%|          | 113/50000 [00:09<45:20, 18.34it/s] 
MSE: 0.003188537200912833:   0%|          | 115/50000 [00:09<46:29, 17.88it/s]
MSE: 0.000646354747004807:   0%|          | 115/50000 [00:09<46:29, 17.88it/s]
MSE: 0.0009729461162351072:   0%|          | 115/50000 [00:09<46:29, 17.88it/s]
MSE: 0.0009729461162351072:   0%|          | 117/50000 [00:09<46:34, 17.85it/s]
MSE: 0.001347048906609416:   0%|          | 117/50000 [00:09<46:34, 17.85it/s] 
MSE: 0.00204031215980649:   0%|          | 117/50000 [00:10<46:34, 17.85it/s] 
MSE: 0.00204031215980649:   0%|          | 119/50000 [00:10<46:00, 18.07it/s]
MSE: 0.0009221655200235546:   0%|          | 119/50000 [00:10<46:00, 18.07it/s]
MSE: 0.000560152402613312:   0%|          | 119/50000 [00:10<46:00, 18.07it/s] 
MSE: 0.000560152402613312:   0%|          | 121/50000 [00:10<47:27, 17.51it/s]
MSE: 0.0005900044343434274:   0%|          | 121/50000 [00:10<47:27, 17.51it/s]
MSE: 0.0014960899716243148:   0%|          | 121/50000 [00:10<47:27, 17.51it/s]
MSE: 0.0014960899716243148:   0%|          | 123/50000 [00:10<48:04, 17.29it/s]
MSE: 0.0014305084478110075:   0%|          | 123/50000 [00:10<48:04, 17.29it/s]
MSE: 0.0010743921156972647:   0%|          | 123/50000 [00:10<48:04, 17.29it/s]
MSE: 0.0010743921156972647:   0%|          | 125/50000 [00:10<46:57, 17.70it/s]
MSE: 0.0015986732905730605:   0%|          | 125/50000 [00:10<46:57, 17.70it/s]
MSE: 0.0006444986211135983:   0%|          | 125/50000 [00:10<46:57, 17.70it/s]
MSE: 0.0006444986211135983:   0%|          | 127/50000 [00:10<46:32, 17.86it/s]
MSE: 0.0017441241070628166:   0%|          | 127/50000 [00:10<46:32, 17.86it/s]
MSE: 0.0010187341831624508:   0%|          | 127/50000 [00:10<46:32, 17.86it/s]
MSE: 0.0010187341831624508:   0%|          | 129/50000 [00:10<46:01, 18.06it/s]
MSE: 0.0008592361118644476:   0%|          | 129/50000 [00:10<46:01, 18.06it/s]
MSE: 0.0006336785736493766:   0%|          | 129/50000 [00:10<46:01, 18.06it/s]
MSE: 0.0006336785736493766:   0%|          | 131/50000 [00:10<47:01, 17.68it/s]
MSE: 0.0023824889212846756:   0%|          | 131/50000 [00:10<47:01, 17.68it/s]
MSE: 0.00045580457663163543:   0%|          | 131/50000 [00:10<47:01, 17.68it/s]
MSE: 0.00045580457663163543:   0%|          | 133/50000 [00:10<46:54, 17.72it/s]
MSE: 0.002207142999395728:   0%|          | 133/50000 [00:10<46:54, 17.72it/s]  
MSE: 0.001346137374639511:   0%|          | 133/50000 [00:10<46:54, 17.72it/s]
MSE: 0.001346137374639511:   0%|          | 135/50000 [00:10<47:10, 17.62it/s]
MSE: 0.0005320884520187974:   0%|          | 135/50000 [00:10<47:10, 17.62it/s]
MSE: 0.004237862769514322:   0%|          | 135/50000 [00:11<47:10, 17.62it/s] 
MSE: 0.004237862769514322:   0%|          | 137/50000 [00:11<46:50, 17.74it/s]
MSE: 0.0012995658908039331:   0%|          | 137/50000 [00:11<46:50, 17.74it/s]
MSE: 0.0012610980775207281:   0%|          | 137/50000 [00:11<46:50, 17.74it/s]
MSE: 0.0012610980775207281:   0%|          | 139/50000 [00:11<47:08, 17.63it/s]
MSE: 0.0004360558814369142:   0%|          | 139/50000 [00:11<47:08, 17.63it/s]
MSE: 0.0022494844160974026:   0%|          | 139/50000 [00:11<47:08, 17.63it/s]
MSE: 0.0022494844160974026:   0%|          | 141/50000 [00:11<47:02, 17.67it/s]
MSE: 0.0008162760641425848:   0%|          | 141/50000 [00:11<47:02, 17.67it/s]
MSE: 0.0005763126537203789:   0%|          | 141/50000 [00:11<47:02, 17.67it/s]
MSE: 0.0005763126537203789:   0%|          | 143/50000 [00:11<47:32, 17.48it/s]
MSE: 0.0022547803819179535:   0%|          | 143/50000 [00:11<47:32, 17.48it/s]
MSE: 0.0006004753522574902:   0%|          | 143/50000 [00:11<47:32, 17.48it/s]
MSE: 0.0006004753522574902:   0%|          | 145/50000 [00:11<47:32, 17.48it/s]
MSE: 0.0009894000831991434:   0%|          | 145/50000 [00:11<47:32, 17.48it/s]
MSE: 0.001958855427801609:   0%|          | 145/50000 [00:11<47:32, 17.48it/s] 
MSE: 0.001958855427801609:   0%|          | 147/50000 [00:11<47:54, 17.34it/s]
MSE: 0.0023817894980311394:   0%|          | 147/50000 [00:11<47:54, 17.34it/s]
MSE: 0.0013534104218706489:   0%|          | 147/50000 [00:11<47:54, 17.34it/s]
MSE: 0.0013534104218706489:   0%|          | 149/50000 [00:11<47:25, 17.52it/s]
MSE: 0.0009161413181573153:   0%|          | 149/50000 [00:11<47:25, 17.52it/s]
MSE: 0.00098652474116534:   0%|          | 149/50000 [00:11<47:25, 17.52it/s]  
MSE: 0.00098652474116534:   0%|          | 151/50000 [00:11<46:14, 17.96it/s]
MSE: 0.0018889247439801693:   0%|          | 151/50000 [00:11<46:14, 17.96it/s]
MSE: 0.0004877912288066:   0%|          | 151/50000 [00:11<46:14, 17.96it/s]   
MSE: 0.0004877912288066:   0%|          | 153/50000 [00:11<46:23, 17.91it/s]
MSE: 0.0009699919610284269:   0%|          | 153/50000 [00:12<46:23, 17.91it/s]
MSE: 0.0012908264761790633:   0%|          | 153/50000 [00:12<46:23, 17.91it/s]
MSE: 0.0012908264761790633:   0%|          | 155/50000 [00:12<46:06, 18.02it/s]
MSE: 0.002167281461879611:   0%|          | 155/50000 [00:12<46:06, 18.02it/s] 
MSE: 0.0014970417832955718:   0%|          | 155/50000 [00:12<46:06, 18.02it/s]
MSE: 0.0014970417832955718:   0%|          | 157/50000 [00:12<46:06, 18.01it/s]
MSE: 0.00038239307468757033:   0%|          | 157/50000 [00:12<46:06, 18.01it/s]
MSE: 0.0017438584472984076:   0%|          | 157/50000 [00:12<46:06, 18.01it/s] 
MSE: 0.0017438584472984076:   0%|          | 159/50000 [00:12<46:42, 17.78it/s]
MSE: 0.0013758372515439987:   0%|          | 159/50000 [00:12<46:42, 17.78it/s]
MSE: 0.003923390991985798:   0%|          | 159/50000 [00:12<46:42, 17.78it/s] 
MSE: 0.003923390991985798:   0%|          | 161/50000 [00:12<47:16, 17.57it/s]
MSE: 0.0017433546017855406:   0%|          | 161/50000 [00:12<47:16, 17.57it/s]
MSE: 0.0005759926862083375:   0%|          | 161/50000 [00:12<47:16, 17.57it/s]
MSE: 0.0005759926862083375:   0%|          | 163/50000 [00:12<47:10, 17.60it/s]
MSE: 0.0013003482017666101:   0%|          | 163/50000 [00:12<47:10, 17.60it/s]
MSE: 0.001437481725588441:   0%|          | 163/50000 [00:12<47:10, 17.60it/s] 
MSE: 0.001437481725588441:   0%|          | 165/50000 [00:12<47:14, 17.58it/s]
MSE: 0.0010955348843708634:   0%|          | 165/50000 [00:12<47:14, 17.58it/s]
MSE: 0.0030268928967416286:   0%|          | 165/50000 [00:12<47:14, 17.58it/s]
MSE: 0.0030268928967416286:   0%|          | 167/50000 [00:12<46:57, 17.69it/s]
MSE: 0.0009787272429093719:   0%|          | 167/50000 [00:12<46:57, 17.69it/s]
MSE: 0.0014166361652314663:   0%|          | 167/50000 [00:12<46:57, 17.69it/s]
MSE: 0.0014166361652314663:   0%|          | 169/50000 [00:12<46:57, 17.68it/s]
MSE: 0.0009364614961668849:   0%|          | 169/50000 [00:12<46:57, 17.68it/s]
MSE: 0.0005599648575298488:   0%|          | 169/50000 [00:12<46:57, 17.68it/s]
MSE: 0.0005599648575298488:   0%|          | 171/50000 [00:12<47:01, 17.66it/s]
MSE: 0.0008372182492166758:   0%|          | 171/50000 [00:13<47:01, 17.66it/s]
MSE: 0.0009012027876451612:   0%|          | 171/50000 [00:13<47:01, 17.66it/s]
MSE: 0.0009012027876451612:   0%|          | 173/50000 [00:13<46:47, 17.75it/s]
MSE: 0.001132574980147183:   0%|          | 173/50000 [00:13<46:47, 17.75it/s] 
MSE: 0.0007535438053309917:   0%|          | 173/50000 [00:13<46:47, 17.75it/s]
MSE: 0.0007535438053309917:   0%|          | 175/50000 [00:13<46:04, 18.02it/s]
MSE: 0.0010413517011329532:   0%|          | 175/50000 [00:13<46:04, 18.02it/s]
MSE: 0.002066038316115737:   0%|          | 175/50000 [00:13<46:04, 18.02it/s] 
MSE: 0.002066038316115737:   0%|          | 177/50000 [00:13<46:01, 18.05it/s]
MSE: 0.0007124580442905426:   0%|          | 177/50000 [00:13<46:01, 18.05it/s]
MSE: 0.0011874646879732609:   0%|          | 177/50000 [00:13<46:01, 18.05it/s]
MSE: 0.0011874646879732609:   0%|          | 179/50000 [00:13<46:27, 17.87it/s]
MSE: 0.0006000032881274819:   0%|          | 179/50000 [00:13<46:27, 17.87it/s]
MSE: 0.00023068829614203423:   0%|          | 179/50000 [00:13<46:27, 17.87it/s]
MSE: 0.00023068829614203423:   0%|          | 181/50000 [00:13<46:12, 17.97it/s]
MSE: 0.0010025057708844543:   0%|          | 181/50000 [00:13<46:12, 17.97it/s] 
MSE: 0.0007431941921822727:   0%|          | 181/50000 [00:13<46:12, 17.97it/s]
